"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C5,C6,C7,C8,C9,C12,C13,C14","11","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C4,C10,C11","3","0.47uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C15","1","4.7uF","","","","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm","~"
"J1","1","~","","","","Byteshift_Library:TRS-80 M1 EI_ADDON_42P_CONN",""
"R1","1","4.7K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"U1","1","HD6402","","","","Package_DIP:DIP-40_W15.24mm_Socket_LongPads",""
"U2","1","COM8116","","","","Package_DIP:DIP-18_W7.62mm_Socket_LongPads",""
"U3","1","74LS155","","","","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS155"
"U4","1","74LS04","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS04"
"U5","1","74LS00","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74ls00"
"U6","1","74LS244","","","","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf"
"U7","1","74LS367","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS367"
"U8","1","74LS174","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS174"
"U9","1","SP3243ECA-L/TR","","","","Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm","SP3243ECA-L/TR"
"U10","1","74LS08","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS08"
"Y1","1","5.0688 MHz","","","","Crystal:Crystal_HC49-U_Horizontal","~"
